publishedAt,title,description,thumbnailurl
2018-02-28T17:00:42Z,The Original Orange Chicken by Panda Express,Reserve the One Top: http://bit.ly/2v0iast Get the recipe: https://tasty.co/recipe/original-orange-chicken-by-panda-express Buy the Tasty Cookbook Today: ...,https://i.ytimg.com/vi/5Sa9nYKiYg0/default.jpg
2016-02-25T22:23:40Z,Chicken Pot Pie (As Made By Wolfgang Puck),"Read more! - http://bzfd.it/1XPgzLN Recipe! 2 pounds cooked boneless, skinless chicken, shredded Salt Freshly ground black pepper 4 tablespoons vegetable ...",https://i.ytimg.com/vi/_eOA-zawYEA/default.jpg
2018-07-22T16:00:19Z,The Most Fool-Proof Macarons You&#39;ll Ever Make,https://www.buzzfeed.com/marietelling/how-to-make-macarons?utm_term=.kkgkRxLmw#.ae7RewPg4 Get the recipe! - https://tasty.co/recipe/macarons Shop the ...,https://i.ytimg.com/vi/MjVgIXccYXA/default.jpg
2017-06-03T16:00:43Z,The Best Fudgy Brownies Ever! • Tasty,"Super chocolatey, chewy, and fudgy. Here is what you'll need! The Best Fudgy Brownies Servings: 9 INGREDIENTS 8 ounces good-quality chocolate ¾ cup ...",https://i.ytimg.com/vi/lIb_741_dIw/default.jpg
2018-02-02T17:00:15Z,Galaxy Mirror Glaze Cake: Behind Tasty,Reserve the One Top: http://bit.ly/2v0iast Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/43071 ...,https://i.ytimg.com/vi/zS5-hxARjJo/default.jpg
2018-02-28T17:00:42Z,The Original Orange Chicken by Panda Express,Reserve the One Top: http://bit.ly/2v0iast Get the recipe: https://tasty.co/recipe/original-orange-chicken-by-panda-express Buy the Tasty Cookbook Today: ...,https://i.ytimg.com/vi/5Sa9nYKiYg0/default.jpg
2016-02-25T22:23:40Z,Chicken Pot Pie (As Made By Wolfgang Puck),"Read more! - http://bzfd.it/1XPgzLN Recipe! 2 pounds cooked boneless, skinless chicken, shredded Salt Freshly ground black pepper 4 tablespoons vegetable ...",https://i.ytimg.com/vi/_eOA-zawYEA/default.jpg
2018-07-22T16:00:19Z,The Most Fool-Proof Macarons You&#39;ll Ever Make,https://www.buzzfeed.com/marietelling/how-to-make-macarons?utm_term=.kkgkRxLmw#.ae7RewPg4 Get the recipe! - https://tasty.co/recipe/macarons Shop the ...,https://i.ytimg.com/vi/MjVgIXccYXA/default.jpg
2017-06-03T16:00:43Z,The Best Fudgy Brownies Ever! • Tasty,"Super chocolatey, chewy, and fudgy. Here is what you'll need! The Best Fudgy Brownies Servings: 9 INGREDIENTS 8 ounces good-quality chocolate ¾ cup ...",https://i.ytimg.com/vi/lIb_741_dIw/default.jpg
2018-02-02T17:00:15Z,Galaxy Mirror Glaze Cake: Behind Tasty,Reserve the One Top: http://bit.ly/2v0iast Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/43071 ...,https://i.ytimg.com/vi/zS5-hxARjJo/default.jpg
